"class","subclass","superorder","order","superfamily","family","subfamily","genus","specificEpithet","infragenericEpithet","infraspecificEpithet","scientificNameAuthorship","canonical"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","PORCINUS","","","WALTON","Ornithodoros porcinus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","PUERTORICENSIS","","","FOX","Ornithodoros puertoricensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","RENNELLENSIS","","","CLIFFORD  SONENSHINE","Ornithodoros rennellensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","RETICULINSUS","","","","Ornithodoros reticulinsus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","ROSSI","","","KOHLS  SONENSHINE  CLIFFORD","Ornithodoros rossi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","ROSTRATUS","","","ARAGAO","Ornithodoros rostratus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","RUDIS","","","KARSCH","Ornithodoros rudis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","SALAHI","","","HOOGSTRAAL 1953","Ornithodoros salahi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","SAVIGNYI","","","(AUDOUIN)","Ornithodoros savignyi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","SERRAI","","","","Ornithodoros serrai"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","SETOSUS","","","KOHLS  CLIFFORD  JONES","Ornithodoros setosus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","SOLOMONIS","","","DUMBLETON","Ornithodoros solomonis"
